ï»¿OBJECTID,Event Number,Complaint Number,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Shift,Sector,Zone,Latitude,Longitude,RPA,Call_Received
53129,PD202400526502,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-07-01 19:32:32
53130,PD202400485071,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-06-17 16:59:44
53131,PD202400529699,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-07-02 18:57:09
53133,PD202400495255,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-06-20 19:36:43
53134,PD202400512686,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-06-26 20:41:49
53135,PD202400494599,,57,FIGHT / ASSAULT,P,PROGRESS,5,GONE ON ARRIVAL,200,CROSSINGS PL,7314,B,S,333,,,8865,2024-06-20 16:01:14
53136,PD202400555311,,3,,,,4,ASSISTED CITIZEN,200,CROSSINGS PL,331B,B,S,333,,,8865,2024-07-11 19:11:09
53137,PD202400552596,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-07-10 21:18:49
56042,PD202400138423,20240116177,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,1,M.P.D. REPORT COMPLED,1200,CATINA DR,57A51,B,H,531,,,8821,2024-02-19 19:56:14
62311,PD202400399039,,88,INVESTIGATE 911 HANG-UP CALL,PW,,11,DISREGARD / SIGNAL 9,3400,BINKLEY RD,,B,N,635,,,3331,2024-05-18 19:23:32
66011,PD202400223167,,83,SHOTS FIRED,P,PROGRESS,5,GONE ON ARRIVAL,600,ARBOR LAKE BLVD,527C,C,H,521,,,9527,2024-03-19 01:51:51
66012,PD202400212060,,50,THEFT,TV,,6,ASSISTED OTHER UNIT,600,ARBOR LAKE BLVD,527B,B,H,521,,,9527,2024-03-14 21:33:32
66619,PD202400220749,,40,SUSPICIOUS PERSON,P,PROGRESS,4,ASSISTED CITIZEN,5000,CHERRYWOOD DR,821A,A,S,823,36.061,-86.727,8659,2024-03-18 09:21:27
66626,PD202400548733,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,1500,DEMONBREUN ST,815A9,B,W,811,36.153,-86.789,6721,2024-07-09 16:49:24
66714,PD202400137687,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,1000,BRENTWOOD PL,827A,A,S,827,36.047,-86.743,8653,2024-02-19 14:17:27
66717,PD202400392117,,70,BURGLARY - RESIDENCE,A,ALARM,13,FALSE CALL,1000,BRENTWOOD PL,815A,A,S,827,36.047,-86.743,8653,2024-05-16 13:19:52
66737,PD202400625393,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PJ,,6,ASSISTED OTHER UNIT,5100,BAY OVERLOOK DR,527C,B,S,523,36.15,-86.592,9547,2024-08-05 22:15:09
66790,PD202400589761,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,500,HOLLY HILL CT,121C,C,W,125,36.067,-86.927,4817,2024-07-24 02:34:10
66958,PD202400108625,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,A,ALARM,10,NO RESPONSE,3500,THORNEHILL DR,333B,A,S,335,36.078,-86.603,8997,2024-02-09 12:30:04
66962,PD202400601730,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,A,ALARM,11,DISREGARD / SIGNAL 9,3500,THORNEHILL DR,320A,A,S,335,36.078,-86.603,8997,2024-07-28 11:02:47
66986,PD202400205109,,49,VEHICLE BLOCKING RIGHT OF WAY,P,PROGRESS,3,CITATION - TRAFFIC,1500,WENDELL AVE,ND713,B,E,213,36.193,-86.711,1375,2024-03-12 17:13:32
67111,PD202400537667,,88,INVESTIGATE 911 HANG-UP CALL,PW,,11,DISREGARD / SIGNAL 9,1700,PORTLAND AVE,813A,A,W,817,36.133,-86.796,6611,2024-07-05 11:05:14
67171,PD202400244845,,93,TRAFFIC VIOLATION,,,3T,,5500,HILL RD,51M14,A,S,825,36.046,-86.753,8619,2024-03-26 14:33:01
67189,PD202400169677,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,4,ASSISTED CITIZEN,6100,LOUISIANA AVE,57A49,B,W,115,36.164,-86.862,4615,2024-02-29 18:25:24
67220,PD202400619434,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,A,ALARM,6,ASSISTED OTHER UNIT,600,PICCADILLY ROW,325A,B,S,325,36.083,-86.66,8895,2024-08-03 15:15:20
67225,PD202400038378,,71,BURGLARY - NON-RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,1000,CLEARVIEW AVE,211C,C,C,213,36.178,-86.751,1241,2024-01-15 01:25:10
67227,PD202400013294,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,1T,,1000,CLEARVIEW AVE,213C,B,C,213,36.178,-86.751,1241,2024-01-05 22:30:19
67229,PD202400012362,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,11,DISREGARD / SIGNAL 9,1000,CLEARVIEW AVE,,B,C,213,36.178,-86.751,1241,2024-01-05 15:01:56
67232,PD202400343739,,71,BURGLARY - NON-RESIDENCE,A,ALARM,6,ASSISTED OTHER UNIT,1000,CLEARVIEW AVE,215C,C,C,213,36.178,-86.751,1241,2024-04-29 23:52:15
67235,PD202400573493,,71,BURGLARY - NON-RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,1000,CLEARVIEW AVE,213C,C,C,213,36.178,-86.751,1241,2024-07-18 04:50:40
67285,PD202400535945,,71,BURGLARY - NON-RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,800,W MCKENNIE AVE,223B,B,C,221,36.193,-86.754,1903,2024-07-04 20:46:54
67335,PD202400590711,,44,DISORDERLY PERSON,R,REPORT,11,DISREGARD / SIGNAL 9,3200,MASONWOOD DR,,A,M,721,36.243,-86.777,2033,2024-07-24 12:14:29
67395,PD202400154160,,75,MISSING PERSON,PJ,,10,NO RESPONSE,900,ALDER DR,820B,B,W,825,36.086,-86.781,7103,2024-02-24 17:24:38
67461,PD202400018460,,70,BURGLARY - RESIDENCE,A,ALARM,11,DISREGARD / SIGNAL 9,4600,NEVADA AVE,111A,A,W,111,36.149,-86.842,5133,2024-01-08 09:02:41
67464,PD202400174663,,70,BURGLARY - RESIDENCE,A,ALARM,13,FALSE CALL,4600,NEVADA AVE,111A,A,W,111,36.149,-86.842,5133,2024-03-02 09:19:55
68006,PD202400422010,,88,INVESTIGATE 911 HANG-UP CALL,PW,,11,DISREGARD / SIGNAL 9,400,BELL RD,,B,S,335,36.073,-86.636,8979,2024-05-26 22:19:03
68037,PD202400061745,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PV,,4,ASSISTED CITIZEN,500,STEVENSON ST,115C,B,W,115,36.155,-86.866,4649,2024-01-24 21:13:37
68042,PD202400089080,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,300,ELM ST,721A,C,M,711,36.26,-86.707,1609,2024-02-03 05:54:59
68056,PD202400443587,,44,DISORDERLY PERSON,R,REPORT,5,GONE ON ARRIVAL,1200,RIVERSIDE RD,525C,A,S,527,36.259,-86.643,9733,2024-06-03 11:41:35
68059,PD202400349228,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,3200,OAKVIEW CT,5E10,B,S,335,36.075,-86.608,8975,2024-05-01 16:53:01
68152,PD202400239711,20240201723,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,6,ASSISTED OTHER UNIT,3800,CROSS CREEK RD,24E22,B,W,113,36.11,-86.821,6105,2024-03-24 20:17:25
68178,PD202400399161,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PM,,11,DISREGARD / SIGNAL 9,900,RADFORD DR,535B,B,S,531,36.135,-86.706,8885,2024-05-18 20:34:46
68179,PD202400400498,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,900,RADFORD DR,531A,A,S,531,36.135,-86.706,8885,2024-05-19 11:57:57
68192,PD202400618212,,40,SUSPICIOUS PERSON,TS,TERRY STOP,6,ASSISTED OTHER UNIT,100,LAFAYETTE ST,AIR1,C,C,311,36.147,-86.758,8133,2024-08-03 00:16:45
68239,PD202400225132,,88,INVESTIGATE 911 HANG-UP CALL,PW,,5,GONE ON ARRIVAL,700,S 7TH ST,211B,B,C,211,36.166,-86.756,1023,2024-03-19 18:21:50
68300,PD202400020333,,61,FIRE,P,PROGRESS,11,DISREGARD / SIGNAL 9,2600,BARTON AVE,,B,W,817,36.134,-86.809,5903,2024-01-08 22:49:05
68301,PD202400020392,,61,FIRE,P,PROGRESS,11,DISREGARD / SIGNAL 9,2600,BARTON AVE,,C,W,817,36.134,-86.809,5903,2024-01-08 23:03:06
68302,PD202400533164,20240441925,54,PERSON WITH WEAPON,R,REPORT,10,NO RESPONSE,4300,BULL RUN RD,630B,B,E,635,36.236,-86.951,3323,2024-07-03 20:15:16
68361,PD202400029752,20240025126,64,CORPSE / D. O. A.,P,PROGRESS,11,DISREGARD / SIGNAL 9,2900,SPLIT OAK TRL,325B,B,S,325,36.079,-86.65,8891,2024-01-11 20:17:06
68363,PD202400187551,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,4,ASSISTED CITIZEN,2900,SPLIT OAK TRL,315B,B,S,325,36.079,-86.65,8891,2024-03-06 18:46:31
68364,PD202400533299,20240442275,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PJ,,1,M.P.D. REPORT COMPLED,2900,SPLIT OAK TRL,535C,B,S,325,36.079,-86.65,8891,2024-07-03 21:04:40
68365,PD202400583077,,44,DISORDERLY PERSON,PJ,,6,ASSISTED OTHER UNIT,2900,SPLIT OAK TRL,331B,B,S,325,36.079,-86.65,8891,2024-07-21 18:23:45
68366,PD202400606592,,75,MISSING PERSON,PJ,,11,DISREGARD / SIGNAL 9,2900,SPLIT OAK TRL,,A,S,325,36.079,-86.65,8891,2024-07-30 08:09:37
68367,PD202400585607,,75,MISSING PERSON,PJ,,6,ASSISTED OTHER UNIT,2900,SPLIT OAK TRL,337B,B,S,325,36.079,-86.65,8891,2024-07-22 18:14:54
68368,PD202400576280,,75,MISSING PERSON,PJ,,11,DISREGARD / SIGNAL 9,2900,SPLIT OAK TRL,320B,C,S,325,36.079,-86.65,8891,2024-07-18 23:32:12
68369,PD202400605185,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PJ,,4,ASSISTED CITIZEN,2900,SPLIT OAK TRL,311B,B,S,325,36.079,-86.65,8891,2024-07-29 19:26:14
68374,PD202400201907,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,4,ASSISTED CITIZEN,500,PEBBLE CREEK CIR,5912,B,S,325,36.075,-86.664,8897,2024-03-11 17:01:01
68571,PD202400153028,,75,MISSING PERSON,PJ,,10,NO RESPONSE,600,S 6TH ST,210C,C,C,211,36.167,-86.76,1021,2024-02-24 05:40:49
68806,PD202400523226,,87,SAFETY HAZARD,P,PROGRESS,4,ASSISTED CITIZEN,1400,JANIE AVE,ND707,A,E,215,36.212,-86.714,1447,2024-06-30 14:16:08
68864,PD202400049067,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PJ,,10,NO RESPONSE,400,HICKORY WOODS CT,330C,B,S,337,36.028,-86.584,8967,2024-01-19 21:38:39
68866,PD202400318312,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,400,HICKORY WOODS CT,335C,B,S,337,36.028,-86.584,8967,2024-04-20 20:17:31
68870,PD202400332694,20240279560,35,MENTALLY ILL PERSON,PJ,,1,M.P.D. REPORT COMPLED,400,HICKORY WOODS CT,337B,B,S,337,36.028,-86.584,8967,2024-04-25 19:31:42
68872,PD202400403872,20240336916,35,MENTALLY ILL PERSON,P,PROGRESS,6,ASSISTED OTHER UNIT,400,HICKORY WOODS CT,562A,B,S,337,36.028,-86.584,8967,2024-05-20 17:45:41
68874,PD202400383384,,75,MISSING PERSON,RJ,,6,ASSISTED OTHER UNIT,400,HICKORY WOODS CT,333B,B,S,337,36.028,-86.584,8967,2024-05-13 19:09:50
68922,PD202400072611,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PM,,11,DISREGARD / SIGNAL 9,700,KENNINGTON N,,B,S,533,36.148,-86.637,8955,2024-01-28 22:40:14
68924,PD202400436981,,65,DANGEROUS / INJURED ANIMAL,P,PROGRESS,11,DISREGARD / SIGNAL 9,700,KENNINGTON N,,B,S,533,36.148,-86.637,8955,2024-05-31 16:50:24
68929,PD202400158633,20240133609,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,1,M.P.D. REPORT COMPLED,500,SKYVIEW DR,57A17,A,E,213,36.179,-86.73,1233,2024-02-26 10:07:29
68948,PD202400073755,20240061284,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,1,M.P.D. REPORT COMPLED,0,TROTWOOD MEWS,57A27,A,S,825,36.034,-86.751,8621,2024-01-29 09:59:32
68954,PD202400057062,,70,BURGLARY - RESIDENCE,P,PROGRESS,11,DISREGARD / SIGNAL 9,5100,MT VIEW RD,115A,A,S,327,36.055,-86.661,8861,2024-01-23 07:44:32
68977,PD202400467890,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,11,DISREGARD / SIGNAL 9,4100,SNEED RD,,B,W,113,36.105,-86.836,6113,2024-06-11 17:48:45
68986,PD202400330759,20240277875,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,10,NO RESPONSE,3000,BRIGHTWOOD AVE,820A,A,W,821,36.118,-86.801,6419,2024-04-25 06:48:38
69026,PD202400159268,,70,BURGLARY - RESIDENCE,A,ALARM,13,FALSE CALL,400,ELAINE CT,795A,A,M,711,36.254,-86.703,1603,2024-02-26 14:15:37
69029,PD202400018851,20240016306,50,THEFT,RV,,1,M.P.D. REPORT COMPLED,300,MOUNTAINHIGH DR,510A,A,S,333,36.037,-86.659,8753,2024-01-08 12:04:55
69128,PD202400115862,,87,SAFETY HAZARD,P,PROGRESS,4,ASSISTED CITIZEN,5900,PORT ANADARKO TRL,ND701,A,S,523,36.169,-86.587,9543,2024-02-12 10:05:37
69130,PD202400137116,,49,VEHICLE BLOCKING RIGHT OF WAY,P,PROGRESS,4,ASSISTED CITIZEN,5900,PORT ANADARKO TRL,ND701,A,S,523,36.169,-86.587,9543,2024-02-19 09:10:30
69160,PD202400148358,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,5300,MT VIEW RD,5E10,B,S,333,36.048,-86.648,8865,2024-02-22 19:04:47
69162,PD202400346456,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,5300,MT VIEW RD,5E10,B,S,333,36.048,-86.648,8865,2024-04-30 21:01:58
69164,PD202400350162,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,5300,MT VIEW RD,5E10,B,S,333,36.048,-86.648,8865,2024-05-01 22:37:58
69166,PD202400431348,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,5300,MT VIEW RD,5E10,B,S,333,36.048,-86.648,8865,2024-05-29 21:27:10
69168,PD202400503417,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,10,NO RESPONSE,500,COLICE JEANNE RD,125C,B,W,125,36.068,-86.932,4817,2024-06-23 22:46:12
69175,PD202400551140,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,100,ROBERT YOEST DR,395B,A,S,331,36.051,-86.69,8717,2024-07-10 11:31:34
69184,PD202400260248,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,A,ALARM,13A,,200,WINWARD CT,533B,B,S,535,36.093,-86.626,8935,2024-03-31 19:12:43
69209,PD202400522662,,50,THEFT,TV,,1,M.P.D. REPORT COMPLED,900,WALDKIRCH AVE,817A,A,W,817,36.127,-86.784,6947,2024-06-30 08:16:49
69247,PD202400222402,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PM,,6,ASSISTED OTHER UNIT,600,ROXANNE DR,7483,B,S,331,36.049,-86.692,8717,2024-03-18 21:18:32
69250,PD202400456904,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,11,DISREGARD / SIGNAL 9,600,ROXANNE DR,,B,S,331,36.049,-86.692,8717,2024-06-07 15:35:34
69271,PD202400156861,,40,SUSPICIOUS PERSON,PV,,5,GONE ON ARRIVAL,100,RADER DR,325B,B,S,325,36.075,-86.684,8851,2024-02-25 18:36:48
69287,PD202400257119,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,A,ALARM,6,ASSISTED OTHER UNIT,6700,DARDEN PL,121A,A,W,121,36.131,-86.879,5013,2024-03-30 07:45:04
69290,PD202400375589,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,5,GONE ON ARRIVAL,100,N TIMBER DR,530B,B,S,533,36.14,-86.64,8991,2024-05-10 17:05:56
69303,PD202400293711,,75,MISSING PERSON,R,REPORT,6,ASSISTED OTHER UNIT,5200,LOUISIANA AVE,111C,C,W,115,36.162,-86.851,4607,2024-04-12 02:49:36
69305,PD202400539902,,65,DANGEROUS / INJURED ANIMAL,P,PROGRESS,11,DISREGARD / SIGNAL 9,5200,LOUISIANA AVE,,A,W,115,36.162,-86.851,4607,2024-07-06 06:17:17
69346,PD202400377067,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,800,GLEN AVE,,C,W,817,36.129,-86.781,6923,2024-05-11 01:43:01
69414,PD202400376265,,83,SHOTS FIRED,P,PROGRESS,10,NO RESPONSE,3500,DONNA KAY DR,310C,B,S,313,36.094,-86.71,8441,2024-05-10 20:52:03
69433,PD202400498547,,50,THEFT,RV,,4,ASSISTED CITIZEN,200,HAYNES PARK DR,623B,B,E,623,36.214,-86.834,3141,2024-06-21 20:31:38
69451,PD202400280918,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,5,GONE ON ARRIVAL,1200,SIOUX TER,711A,C,M,713,36.249,-86.672,1633,2024-04-08 05:32:16
69516,PD202400419830,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,600,YOWELL AVE,711C,B,M,713,36.258,-86.697,1611,2024-05-25 22:29:25
69656,PD202400022456,20240018785,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,1,M.P.D. REPORT COMPLED,800,COLO PL,57A38,B,S,337,36.007,-86.626,8765,2024-01-09 16:20:01
69658,PD202400022458,20240018786,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,R,REPORT,1,M.P.D. REPORT COMPLED,800,COLO PL,57A38,B,S,337,36.007,-86.626,8765,2024-01-09 16:20:58
69899,PD202400093367,,40,SUSPICIOUS PERSON,R,REPORT,4,ASSISTED CITIZEN,2300,INGLESIDE RD,515C,C,S,515,36.166,-86.686,9121,2024-02-04 23:35:23
69909,PD202400014209,,83,SHOTS FIRED,R,REPORT,11,DISREGARD / SIGNAL 9,600,FATHERLAND ST,,A,C,211,36.171,-86.761,1115,2024-01-06 09:34:09
69942,PD202400469613,,88,INVESTIGATE 911 HANG-UP CALL,PW,,13,FALSE CALL,800,FIRESIDE CIR,825A,A,S,825,36.041,-86.763,8619,2024-06-12 07:08:59
69963,PD202400143800,,70,BURGLARY - RESIDENCE,A,ALARM,11,DISREGARD / SIGNAL 9,3900,MEADOW RD,,A,E,625,36.209,-86.841,3149,2024-02-21 11:44:19
69967,PD202400536970,,70,BURGLARY - RESIDENCE,A,ALARM,12,LOCATION/BUILDING SECURE,7300,ROLLING RIVER PKWY,121C,C,W,125,36.06,-86.97,4811,2024-07-05 02:39:47
69972,PD202400431758,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,5,GONE ON ARRIVAL,1300,GREENLAND AVE,215C,C,E,215,36.218,-86.715,1427,2024-05-29 23:46:55
69998,PD202400218017,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,6,ASSISTED OTHER UNIT,400,MYATT DR,725B,C,M,715,36.272,-86.69,1715,2024-03-17 02:05:47
70085,PD202400126501,,93,TRAFFIC VIOLATION,,,9,SUBJECT WARNED,600,OLD HICKORY BLVD,51M16,A,W,121,36.106,-86.922,4903,2024-02-15 13:26:59
70086,PD202400059383,,40,SUSPICIOUS PERSON,PV,,4,ASSISTED CITIZEN,600,OLD HICKORY BLVD,121C,C,W,121,36.106,-86.922,4903,2024-01-24 01:49:54
70087,PD202400273574,,71,BURGLARY - NON-RESIDENCE,A,ALARM,4,ASSISTED CITIZEN,600,OLD HICKORY BLVD,120C9,C,W,121,36.106,-86.922,4903,2024-04-05 00:45:14
70088,PD202400192100,,40,SUSPICIOUS PERSON,PV,,,,600,OLD HICKORY BLVD,,C,W,121,36.106,-86.922,4903,2024-03-08 02:06:04
70090,PD202400298954,20240251181,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,1D,,600,OLD HICKORY BLVD,123C,C,W,121,36.106,-86.922,4903,2024-04-14 03:59:11
70091,PD202400273554,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,600,OLD HICKORY BLVD,120C9,C,W,121,36.106,-86.922,4903,2024-04-05 00:35:53
70092,PD202400347187,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,600,OLD HICKORY BLVD,110B9,C,W,121,36.106,-86.922,4903,2024-05-01 01:01:53
70093,PD202400353271,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,600,OLD HICKORY BLVD,,B,W,121,36.106,-86.922,4903,2024-05-02 22:29:54
70094,PD202400390527,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,4,ASSISTED CITIZEN,600,OLD HICKORY BLVD,123B,B,W,121,36.106,-86.922,4903,2024-05-15 22:59:32
70095,PD202400535802,,46,VEHICLE ACCIDENT - PERSONAL INJURY,P,PROGRESS,1,M.P.D. REPORT COMPLED,600,OLD HICKORY BLVD,113B,B,W,121,36.106,-86.922,4903,2024-07-04 19:50:10
70096,PD202400533076,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,10,NO RESPONSE,600,OLD HICKORY BLVD,120B,B,W,121,36.106,-86.922,4903,2024-07-03 19:47:03
